geoid,name,B16007001,"B16007001, Error",B16007002,"B16007002, Error",B16007003,"B16007003, Error",B16007004,"B16007004, Error",B16007005,"B16007005, Error",B16007006,"B16007006, Error",B16007007,"B16007007, Error",B16007008,"B16007008, Error",B16007009,"B16007009, Error",B16007010,"B16007010, Error",B16007011,"B16007011, Error",B16007012,"B16007012, Error",B16007013,"B16007013, Error",B16007014,"B16007014, Error",B16007015,"B16007015, Error",B16007016,"B16007016, Error",B16007017,"B16007017, Error",B16007018,"B16007018, Error",B16007019,"B16007019, Error"
01000US,United States,304930125,3961,53661722,6266,41689729,60552,8578949,45233,1511564,11366,1286585,9811,594895,10534,200484607,6646,154124083,133781,28468856,79756,7637637,34731,7801242,18253,2452789,24826,50783796,6127,43168540,27592,3661792,9539,1987648,15551,1639476,5740,326340,4831
04000US42,Pennsylvania,12084967,358,1955828,486,1716040,3704,118140,2303,73714,2162,33102,1352,14832,1271,7847419,725,6871141,6936,439212,3700,289516,5046,181948,2601,65602,2842,2281720,553,2117685,2413,45948,817,81565,1885,29086,771,7436,525
05000US42101,"Philadelphia County, PA",1472512,43,238998,43,185465,1812,28878,1238,9198,883,10072,682,5385,957,1021240,30,773121,3536,113061,2108,57711,2605,57362,1387,19985,1799,212274,30,172204,1169,13162,463,15389,1013,9854,337,1665,348
14000US42101000100,"Census Tract 1, Philadelphia, PA",3943,388,73,71,55,65,0,10,18,28,0,10,0,10,3487,342,3173,342,102,102,179,114,33,36,0,10,383,118,335,128,9,25,0,10,39,54,0,10
14000US42101000200,"Census Tract 2, Philadelphia, PA",2780,436,245,148,11,18,0,10,44,42,190,150,0,10,2206,353,891,235,122,119,246,163,934,371,13,15,329,84,68,45,0,10,27,43,234,85,0,10
14000US42101000300,"Census Tract 3, Philadelphia, PA",3297,280,183,77,127,73,17,27,39,37,0,10,0,10,2414,269,1897,294,63,46,265,111,119,64,70,59,700,127,582,124,9,15,19,20,90,79,0,10
14000US42101000401,"Census Tract 4.01, Philadelphia, PA",2429,261,13,18,13,18,0,10,0,10,0,10,0,10,1999,258,1496,273,79,71,234,98,153,66,37,29,417,104,316,105,8,12,21,24,72,49,0,10
14000US42101000402,"Census Tract 4.02, Philadelphia, PA",4097,393,90,58,81,63,0,10,0,10,0,10,9,18,2601,364,2096,386,57,72,294,153,91,79,63,92,1406,221,1317,215,0,10,56,49,16,25,17,26
14000US42101000500,"Census Tract 5, Philadelphia, PA",2530,349,30,33,23,31,0,10,0,10,7,10,0,10,2386,349,1772,290,187,93,124,46,161,66,142,124,114,55,59,41,0,10,0,10,55,33,0,10
14000US42101000600,"Census Tract 6, Philadelphia, PA",1181,159,53,56,19,19,0,10,0,10,0,10,34,54,1018,126,851,123,52,39,60,38,39,28,16,26,110,81,98,76,6,9,6,13,0,10,0,10
14000US42101000700,"Census Tract 7, Philadelphia, PA",3717,333,37,42,18,31,0,10,19,30,0,10,0,10,3089,323,2173,321,136,89,317,148,419,194,44,48,591,123,518,129,11,18,43,33,19,29,0,10
14000US42101000801,"Census Tract 8.01, Philadelphia, PA",1400,163,97,30,97,30,0,10,0,10,0,10,0,10,1173,159,1064,173,17,23,36,28,43,40,13,15,130,41,119,33,0,10,11,20,0,10,0,10
14000US42101000803,"Census Tract 8.03, Philadelphia, PA",2737,324,131,82,95,85,0,10,18,26,18,30,0,10,2010,260,1701,258,19,30,86,57,173,109,31,38,596,224,417,191,69,105,110,76,0,10,0,10
14000US42101000804,"Census Tract 8.04, Philadelphia, PA",4684,414,19,30,19,30,0,10,0,10,0,10,0,10,3607,444,3147,408,69,57,200,109,191,120,0,10,1058,233,957,224,48,76,53,45,0,10,0,10
14000US42101000901,"Census Tract 9.01, Philadelphia, PA",2056,216,57,59,23,27,0,10,0,10,0,10,34,54,1784,195,1383,178,40,32,134,70,164,107,63,102,215,72,152,81,0,10,63,55,0,10,0,10
14000US42101000902,"Census Tract 9.02, Philadelphia, PA",2818,277,159,134,109,95,0,10,0,10,0,10,50,84,2033,202,1723,181,63,59,97,63,90,55,60,48,626,108,339,88,0,10,61,63,226,103,0,10
14000US42101001001,"Census Tract 10.01, Philadelphia, PA",2627,191,190,78,158,66,0,10,32,47,0,10,0,10,1421,167,1316,162,11,16,66,45,28,25,0,10,1016,157,925,157,21,28,41,33,29,27,0,10
14000US42101001002,"Census Tract 10.02, Philadelphia, PA",3336,306,310,85,284,82,0,10,26,30,0,10,0,10,2368,293,2153,298,100,72,107,75,0,10,8,14,658,135,576,128,55,75,27,35,0,10,0,10
14000US42101001101,"Census Tract 11.01, Philadelphia, PA",3633,395,176,132,170,132,6,12,0,10,0,10,0,10,3016,392,2571,376,109,73,144,117,179,125,13,20,441,130,343,123,16,27,0,10,82,121,0,10
14000US42101001102,"Census Tract 11.02, Philadelphia, PA",2618,245,190,75,157,80,0,10,19,22,14,21,0,10,2287,231,1945,224,22,25,173,95,121,67,26,30,141,69,131,68,0,10,10,16,0,10,0,10
14000US42101001201,"Census Tract 12.01, Philadelphia, PA",3761,310,351,113,325,121,26,42,0,10,0,10,0,10,2895,247,2456,315,185,136,120,94,134,118,0,10,515,125,423,114,0,10,66,62,11,18,15,25
14000US42101001202,"Census Tract 12.02, Philadelphia, PA",4972,347,259,98,259,98,0,15,0,15,0,15,0,15,3871,303,3324,310,199,96,173,103,126,71,49,60,842,211,747,215,0,15,72,72,23,34,0,15
14000US42101001300,"Census Tract 13, Philadelphia, PA",6362,657,392,161,392,161,0,15,0,15,0,15,0,15,5094,582,4530,616,296,217,64,77,132,92,72,86,876,242,843,241,0,15,0,15,33,52,0,15
14000US42101001400,"Census Tract 14, Philadelphia, PA",3926,359,204,147,121,79,0,10,0,10,83,124,0,10,3056,261,2763,265,62,60,205,120,26,29,0,10,666,159,575,135,3,8,15,24,73,92,0,10
14000US42101001500,"Census Tract 15, Philadelphia, PA",3063,224,321,80,270,83,14,21,17,21,11,17,9,14,2447,194,2017,193,117,76,183,96,93,64,37,36,295,54,266,59,0,10,29,42,0,10,0,10
14000US42101001600,"Census Tract 16, Philadelphia, PA",2210,202,187,77,187,77,0,10,0,10,0,10,0,10,1860,182,1683,189,44,40,99,44,19,27,15,24,163,43,156,44,0,10,7,11,0,10,0,10
14000US42101001700,"Census Tract 17, Philadelphia, PA",2863,253,378,131,335,132,0,10,32,37,11,18,0,10,2183,194,2016,209,56,41,90,63,21,33,0,10,302,51,289,53,0,10,13,19,0,10,0,10
14000US42101001800,"Census Tract 18, Philadelphia, PA",2960,232,366,119,366,119,0,10,0,10,0,10,0,10,2302,213,2105,237,24,23,69,51,97,83,7,13,292,71,227,71,35,33,21,26,9,13,0,10
14000US42101001900,"Census Tract 19, Philadelphia, PA",3711,302,207,129,177,128,8,14,0,10,22,35,0,10,3282,278,2907,277,180,185,115,65,29,32,51,45,222,82,221,82,1,2,0,10,0,10,0,10
14000US42101002000,"Census Tract 20, Philadelphia, PA",1711,191,120,63,114,65,6,9,0,10,0,10,0,10,1338,160,1230,160,46,31,32,22,11,12,19,29,253,48,236,47,6,9,0,10,11,17,0,10
14000US42101002100,"Census Tract 21, Philadelphia, PA",2099,227,89,55,89,55,0,10,0,10,0,10,0,10,1723,202,1617,208,50,47,14,20,42,25,0,10,287,63,259,60,8,11,0,10,20,22,0,10
14000US42101002200,"Census Tract 22, Philadelphia, PA",2028,249,140,73,126,66,0,10,14,20,0,10,0,10,1726,200,1478,182,57,43,68,47,92,77,31,29,162,55,135,50,4,8,0,10,23,33,0,10
14000US42101002300,"Census Tract 23, Philadelphia, PA",2716,264,160,67,70,57,0,10,8,14,82,48,0,10,2168,227,1634,272,117,111,114,83,303,94,0,10,388,64,330,64,0,10,30,34,28,33,0,10
14000US42101002400,"Census Tract 24, Philadelphia, PA",4390,456,462,124,334,112,0,10,19,30,109,108,0,10,3537,441,2765,363,327,328,142,157,303,165,0,10,391,128,301,102,22,32,0,10,68,54,0,10
14000US42101002500,"Census Tract 25, Philadelphia, PA",3829,430,576,237,313,160,31,50,11,18,221,203,0,10,2638,292,2061,243,129,99,105,62,343,185,0,10,615,100,547,99,38,30,7,10,14,23,9,14
14000US42101002701,"Census Tract 27.01, Philadelphia, PA",3934,547,522,242,166,75,189,111,7,12,33,30,127,208,3006,427,1998,308,544,325,86,74,350,235,28,45,406,112,246,80,45,43,0,10,115,112,0,10
14000US42101002702,"Census Tract 27.02, Philadelphia, PA",4116,405,407,191,367,182,21,26,19,29,0,10,0,10,3247,323,2931,313,122,104,16,17,144,144,34,41,462,68,400,68,23,36,26,31,0,10,13,17
14000US42101002801,"Census Tract 28.01, Philadelphia, PA",4354,663,912,298,411,182,359,280,0,10,142,87,0,10,3072,498,1412,216,809,427,46,38,782,293,23,36,370,81,213,64,10,20,19,27,128,76,0,10
